Symbol	Entrez	Name	Organism	HugoSymbol	Signature	logFC	adj.P.Val	CoreEnrichment
Il6	16193	interleukin 6	mouse	IL6	TIS up	2.338817	0.0003208822	
Cttn	13043	cortactin	mouse	CTTN	TIS up	2.326155	0.00007077802	
Cxcl2	20310	chemokine (C-X-C motif) ligand 2	mouse	CXCL3	TIS up	2.29817	0.000236658	
F2r	14062	coagulation factor II (thrombin) receptor	mouse	F2R	TIS up	2.265901	0.00007686468	yes
Prss23	76453	protease, serine 23	mouse	PRSS23	TIS up	2.258889	0.00009207577	
Kitl	17311	kit ligand	mouse	KITLG	TIS up	2.246339	0.0001041783	
Nid1	18073	nidogen 1	mouse	NID1	TIS up	2.237298	0.00004565297	
Hmga2	15364	high mobility group AT-hook 2	mouse	HMGA2	TIS up	2.228894	0.000004197578	
Ms4a7	109225	membrane-spanning 4-domains, subfamily A, member 7	mouse	MS4A7	TIS up	2.21944	0.00005367595	
Clec4d	17474	C-type lectin domain family 4, member d	mouse	CLEC4D	TIS up	2.181453	0.007437957	
Spp1	20750	secreted phosphoprotein 1	mouse	SPP1	TIS up	2.179141	0.0002217647	
Cenpe	229841	centromere protein E	mouse	CENPE	TIS down	-2.172217	0.00000008394264	
Mmp8	17394	matrix metallopeptidase 8	mouse	MMP8	TIS up	2.170397	0.0008637316	
Ereg	13874	epiregulin	mouse	EREG	TIS up	2.165201	0.000112854	
Fam198b	68659	family with sequence similarity 198, member B	mouse	FAM198B	TIS up	2.131812	0.000008081863	
Lyz2	17105	lysozyme 2	mouse	LYZ	TIS up	2.120467	0.004604871	
Lilrb4a	14728	leukocyte immunoglobulin-like receptor, subfamily B, member 4A	mouse		TIS up	2.105163	0.001301183	
Kif11	16551	kinesin family member 11	mouse	KIF11	TIS down	-2.102334	0.0000000002051533	
Aurkb	20877	aurora kinase B	mouse	AURKB	TIS down	-2.093298	0.00000000006393613	
Prnp	19122	prion protein	mouse	PRNP	TIS up	2.084462	0.0004004913	
Ccl2	20296	chemokine (C-C motif) ligand 2	mouse	CCL13	TIS up	2.082268	0.0003527052	
Fpr1	14293	formyl peptide receptor 1	mouse	FPR1	TIS up	2.076831	0.0006486039	
Serpinh1	12406	serine (or cysteine) peptidase inhibitor, clade H, member 1	mouse	SERPINH1	TIS up	2.063537	0.00001803489	
Emp1	13730	epithelial membrane protein 1	mouse	EMP1	TIS up	2.06095	0.001995995	
Cfp	18636	complement factor properdin	mouse	CFP	TIS up	2.059685	0.0000279356	
Cenpp	66336	centromere protein P	mouse	CENPP	TIS down	-2.059559	0.000000000005561103	
Ccnb2	12442	cyclin B2	mouse	CCNB2	TIS down	-2.051219	0.0000000002005504	
Plin2	11520	perilipin 2	mouse	PLIN2	TIS up	2.043801	0.00001570458	
Fgf7	14178	fibroblast growth factor 7	mouse	FGF7	TIS up	2.031331	0.00007689269	
Col1a2	12843	collagen, type I, alpha 2	mouse	COL1A2	TIS up	2.028365	0.001203794	
Axl	26362	AXL receptor tyrosine kinase	mouse	AXL	TIS up	2.02805	0.000009874584	
Vasn	246154	vasorin	mouse	VASN	TIS up	2.023164	0.00009647377	
Lpl	16956	lipoprotein lipase	mouse	LPL	TIS up	2.00903	0.007405055	
Timp2	21858	tissue inhibitor of metalloproteinase 2	mouse	TIMP2	TIS up	2.000501	0.0001075953	
Fbln2	14115	fibulin 2	mouse	FBLN2	TIS up	1.997803	0.0000836985	
Ak1	11636	adenylate kinase 1	mouse	AK1	TIS up	1.996726	0.0000001135699	
Rpl39l	68172	ribosomal protein L39-like	mouse	RPL39L	TIS up	1.987272	0.0001982421	
Il1rn	16181	interleukin 1 receptor antagonist	mouse	IL1RN	TIS up	1.987031	0.003859551	
Pcolce	18542	procollagen C-endopeptidase enhancer protein	mouse	PCOLCE	TIS up	1.986316	0.0001907414	
Depdc1a	76131	DEP domain containing 1a	mouse	DEPDC1	TIS down	-1.976631	0.00000000332195	
Pbk	52033	PDZ binding kinase	mouse	PBK	TIS down	-1.969439	0.000000001184746	
Ifi207	226691	interferon activated gene 207	mouse		TIS up	1.969098	0.0003134098	
Shcbp1	20419	Shc SH2-domain binding protein 1	mouse	SHCBP1	TIS down	-1.965474	0.000000000457361	
Mki67	17345	antigen identified by monoclonal antibody Ki 67	mouse	MKI67	TIS down	-1.954775	0.0000000006665433	
Ska1	66468	spindle and kinetochore associated complex subunit 1	mouse	SKA1	TIS down	-1.950171	0.0000000004740455	
Nuf2	66977	NUF2, NDC80 kinetochore complex component	mouse	NUF2	TIS down	-1.937274	0.0000000007957854	
Ccl7	20306	chemokine (C-C motif) ligand 7	mouse	CCL7	TIS up	1.936549	0.0003813689	
Tnfaip2	21928	tumor necrosis factor, alpha-induced protein 2	mouse	TNFAIP2	TIS up	1.936488	0.002011242	
Sparc	20692	secreted acidic cysteine rich glycoprotein	mouse	SPARC	TIS up	1.934996	0.0001170912	
Esco2	71988	establishment of sister chromatid cohesion N-acetyltransferase 2	mouse	ESCO2	TIS down	-1.9312	0.00000004456533	
Il1b	16176	interleukin 1 beta	mouse	IL1B	TIS up	1.924753	0.0003089441	
Lmnb1	16906	lamin B1	mouse	LMNB1	TIS down	-1.903047	0.00000000001650083	
Cryab	12955	crystallin, alpha B	mouse	CRYAB	TIS up	1.900734	0.0004713583	
Cav1	12389	caveolin 1, caveolae protein	mouse	CAV1	TIS up	1.897837	0.0005778543	
Rhox5	18617	reproductive homeobox 5	mouse		TIS up	1.897769	0.00004234679	
Prkg2	19092	protein kinase, cGMP-dependent, type II	mouse	PRKG2	TIS up	1.897746	0.0001974521	
Osmr	18414	oncostatin M receptor	mouse	OSMR	TIS up	1.893873	0.0000551561	
Cep55	74107	centrosomal protein 55	mouse	CEP55	TIS down	-1.878046	0.000006223672	
Cd36	12491	CD36 molecule	mouse	CD36	TIS up	1.855703	0.00001277396	
Timp1	21857	tissue inhibitor of metalloproteinase 1	mouse	TIMP1	TIS up	1.851726	0.0002853523	
Ifitm3	66141	interferon induced transmembrane protein 3	mouse	IFITM3	TIS up	1.8481	0.001070778	
Rtp4	67775	receptor transporter protein 4	mouse	RTP4	TIS up	1.847614	0.002644966	
Pola1	18968	polymerase (DNA directed), alpha 1	mouse	POLA1	TIS down	-1.846575	0.00000000001678893	
Nusap1	108907	nucleolar and spindle associated protein 1	mouse	NUSAP1	TIS down	-1.843965	0.00000001258516	
Oasl2	23962	2'-5' oligoadenylate synthetase-like 2	mouse		TIS up	1.840348	0.0004753544	
Bub1b	12236	BUB1B, mitotic checkpoint serine/threonine kinase	mouse	BUB1B	TIS down	-1.839418	0.00000000001445594	
Anxa8	11752	annexin A8	mouse	ANXA8L1	TIS up	1.838299	0.00001533366	
Kif18a	228421	kinesin family member 18A	mouse	KIF18A	TIS down	-1.835586	0.00000000003605103	
Ifi202b	26388	interferon activated gene 202B	mouse		TIS up	1.83141	0.0001600091	
Bub1	12235	BUB1, mitotic checkpoint serine/threonine kinase	mouse	BUB1	TIS down	-1.829132	0.00000005989336	
Adgre1	13733	adhesion G protein-coupled receptor E1	mouse	ADGRE1	TIS up	1.828515	0.005334306	
Pla2g7	27226	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	mouse	PLA2G7	TIS up	1.827775	0.00213016	
Pls3	102866	plastin 3 (T-isoform)	mouse	PLS3	TIS up	1.827624	0.0001849765	
Crip1	12925	cysteine-rich protein 1 (intestinal)	mouse	CRIP1	TIS down	-1.825884	0.00001305219	
Ephx1	13849	epoxide hydrolase 1, microsomal	mouse	EPHX1	TIS up	1.823343	0.000006755142	
Mis18bp1	217653	MIS18 binding protein 1	mouse	MIS18BP1	TIS down	-1.817583	0.00000000004424531	
Ube2c	68612	ubiquitin-conjugating enzyme E2C	mouse	UBE2C	TIS down	-1.817248	0.0000000004366073	
Fscn1	14086	fascin actin-bundling protein 1	mouse	FSCN1	TIS up	1.811201	0.00304036	
Cavin2	20324	caveolae associated 2	mouse	CAVIN2	TIS up	1.805605	0.0004836393	
Mpeg1	17476	macrophage expressed gene 1	mouse	MPEG1	TIS up	1.804331	0.00008039368	
Ttk	22137	Ttk protein kinase	mouse	TTK	TIS down	-1.800441	0.000000002741128	
Armcx2	67416	armadillo repeat containing, X-linked 2	mouse	ARMCX2	TIS up	1.799982	0.001099287	
Dcn	13179	decorin	mouse	DCN	TIS up	1.797707	0.002847422	
Slc25a24	229731	solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 24	mouse	SLC25A24	TIS up	1.797438	0.0006578262	
Col1a1	12842	collagen, type I, alpha 1	mouse	COL1A1	TIS up	1.794863	0.00003451337	
Ncapd2	68298	non-SMC condensin I complex, subunit D2	mouse	NCAPD2	TIS down	-1.794377	0.0000000004740455	
Rai14	75646	retinoic acid induced 14	mouse	RAI14	TIS up	1.791798	0.0009240317	
Fyb	23880	FYN binding protein	mouse	FYB1	TIS up	1.790332	0.005092199	
Nrn1	68404	neuritin 1	mouse	NRN1	TIS up	1.785894	0.00002427891	
Ccna2	12428	cyclin A2	mouse	CCNA2	TIS down	-1.780007	0.0000000001310983	
Ccr1	12768	chemokine (C-C motif) receptor 1	mouse	CCR1	TIS up	1.779745	0.0008630182	
Usp18	24110	ubiquitin specific peptidase 18	mouse	USP18	TIS up	1.776749	0.002662742	
Cd34	12490	CD34 antigen	mouse	CD34	TIS up	1.775659	0.0001908333	
Cdca3	14793	cell division cycle associated 3	mouse	CDCA3	TIS down	-1.768748	0.0000000002365121	
Birc5	11799	baculoviral IAP repeat-containing 5	mouse	BIRC5	TIS down	-1.764308	0.0000000009113153	
Ecm1	13601	extracellular matrix protein 1	mouse	ECM1	TIS up	1.757016	0.000002806252	
Dlk1	13386	delta like non-canonical Notch ligand 1	mouse	DLK1	TIS up	1.754731	0.00003611506	
Thbs2	21826	thrombospondin 2	mouse	THBS2	TIS up	1.752041	0.0006066135	
Nek2	18005	NIMA (never in mitosis gene a)-related expressed kinase 2	mouse	NEK2	TIS down	-1.7503	0.0000000004517347	
Cebpd	12609	CCAAT/enhancer binding protein (C/EBP), delta	mouse	CEBPD	TIS up	1.74277	0.0002424001	
Clec4e	56619	C-type lectin domain family 4, member e	mouse	CLEC4E	TIS up	1.742682	0.00827547	
Thbs1	21825	thrombospondin 1	mouse	THBS1	TIS up	1.741597	0.001199228	
Kif22	110033	kinesin family member 22	mouse	KIF22	TIS down	-1.739418	0.000000000744958	
Ifit1	15957	interferon-induced protein with tetratricopeptide repeats 1	mouse	IFIT1B	TIS up	1.735973	0.000118702	
Fstl1	14314	follistatin-like 1	mouse	FSTL1	TIS up	1.73302	0.001157132	yes
Mir22hg	100042498	Mir22 host gene (non-protein coding)	mouse	MIR22HG	TIS up	1.732703	0.0000004302821	
Ugt1a6a	94284	UDP glucuronosyltransferase 1 family, polypeptide A6A	mouse	UGT1A6	TIS up	1.730539	0.006077676	
Ect2	13605	ect2 oncogene	mouse	ECT2	TIS down	-1.72545	0.000000001828876	
C3	12266	complement component 3	mouse	C3	TIS up	1.722502	0.0009703485	
Plpp3	67916	phospholipid phosphatase 3	mouse	PLPP3	TIS up	1.721774	0.0001062812	yes
Ncapg	54392	non-SMC condensin I complex, subunit G	mouse	NCAPG	TIS down	-1.719428	0.0000000007778788	
Kif20a	19348	kinesin family member 20A	mouse	KIF20A	TIS down	-1.707481	0.00000001818043	
Ccl9	20308	chemokine (C-C motif) ligand 9	mouse		TIS up	1.703902	0.007285394	
E2f8	108961	E2F transcription factor 8	mouse	E2F8	TIS down	-1.703382	0.000000001673951	
Rsad2	58185	radical S-adenosyl methionine domain containing 2	mouse	RSAD2	TIS up	1.700548	0.0001584062	
Plk1	18817	polo like kinase 1	mouse	PLK1	TIS down	-1.699514	0.00000000008668418	
Wwtr1	97064	WW domain containing transcription regulator 1	mouse	WWTR1	TIS up	1.697732	0.00009993829	
Gins1	69270	GINS complex subunit 1 (Psf1 homolog)	mouse	GINS1	TIS down	-1.694719	0.00000000001932642	
Kif23	71819	kinesin family member 23	mouse	KIF23	TIS down	-1.692867	0.000000001507255	
Pira6	18729	paired-Ig-like receptor A6	mouse	LILRB3	TIS up	1.691674	0.0007499857	
Ctsd	13033	cathepsin D	mouse	CTSD	TIS up	1.69046	0.0000005878838	
Marcks	17118	myristoylated alanine rich protein kinase C substrate	mouse	MARCKS	TIS up	1.687276	0.0002602469	
Lrr1	69706	leucine rich repeat protein 1	mouse	LRR1	TIS down	-1.684226	0.000000001751833	
Ccl6	20305	chemokine (C-C motif) ligand 6	mouse		TIS up	1.680691	0.00426219	
Ms4a6c	73656	membrane-spanning 4-domains, subfamily A, member 6C	mouse		TIS up	1.67929	0.0003969801	
Adam8	11501	a disintegrin and metallopeptidase domain 8	mouse	ADAM8	TIS up	1.678186	0.001670472	
Il1rl1	17082	interleukin 1 receptor-like 1	mouse	IL1RL1	TIS up	1.677328	0.0003730682	
Fignl1	60530	fidgetin-like 1	mouse	FIGNL1	TIS down	-1.674837	0.00000000003579784	
Mdfic	16543	MyoD family inhibitor domain containing	mouse	MDFIC	TIS up	1.67412	0.004588372	
Clec4n	56620	C-type lectin domain family 4, member n	mouse	CLEC6A	TIS up	1.672223	0.005031159	
Cavin1	19285	caveolae associated 1	mouse	CAVIN1	TIS up	1.671963	0.0001221718	
Racgap1	26934	Rac GTPase-activating protein 1	mouse	RACGAP1	TIS down	-1.668972	0.000000001402311	
Rbl1	19650	RB transcriptional corepressor like 1	mouse	RBL1	TIS down	-1.664764	0.000000004286976	
Nckap1	50884	NCK-associated protein 1	mouse	NCKAP1	TIS up	1.663849	0.0001457809	yes
Plod2	26432	procollagen lysine, 2-oxoglutarate 5-dioxygenase 2	mouse	PLOD2	TIS up	1.657921	0.005528608	
9430041P20Rik	109253	RIKEN cDNA 9430041P20 gene	mouse		TIS up	1.656493	0.00001907252	
Cd300a	217303	CD300A molecule	mouse	CD300A	TIS up	1.654395	0.0003451978	
Wfdc17	100034251	WAP four-disulfide core domain 17	mouse		TIS up	1.651133	0.001322163	
Ccl3	20302	chemokine (C-C motif) ligand 3	mouse	CCL3L3	TIS up	1.64115	0.004951649	
Fbxo5	67141	F-box protein 5	mouse	FBXO5	TIS down	-1.639441	0.000000008967225	
Arhgap19	71085	Rho GTPase activating protein 19	mouse	ARHGAP19	TIS down	-1.639143	0.00000000001983677	
Ptx3	19288	pentraxin related gene	mouse	PTX3	TIS up	1.637726	0.0009101801	
Cdca8	52276	cell division cycle associated 8	mouse	CDCA8	TIS down	-1.624658	0.00000000002907053	
Col5a2	12832	collagen, type V, alpha 2	mouse	COL5A2	TIS up	1.618226	0.0006885672	
Ncapg2	76044	non-SMC condensin II complex, subunit G2	mouse	NCAPG2	TIS down	-1.618105	0.0000000002653703	
Serpinf1	20317	serine (or cysteine) peptidase inhibitor, clade F, member 1	mouse	SERPINF1	TIS up	1.612957	0.00489511	
Stmn1	16765	stathmin 1	mouse	STMN1	TIS down	-1.611078	0.0000000002473526	
Pfn2	18645	profilin 2	mouse	PFN2	TIS up	1.610526	0.004314649	
Gcat	26912	glycine C-acetyltransferase (2-amino-3-ketobutyrate-coenzyme A ligase)	mouse	GCAT	TIS down	-1.610176	0.0000000009565349	
Loxl1	16949	lysyl oxidase-like 1	mouse	LOXL1	TIS up	1.609952	0.00009643997	
Cd109	235505	CD109 antigen	mouse	CD109	TIS up	1.606112	0.0001111672	
Pirb	18733	paired Ig-like receptor B	mouse	LILRB3	TIS up	1.605557	0.0006973148	
Cenpk	60411	centromere protein K	mouse	CENPK	TIS down	-1.605499	0.0000000002473526	
Fcgr4	246256	Fc receptor, IgG, low affinity IV	mouse	FCGR3A	TIS up	1.604569	0.002560727	
Serpine1	18787	serine (or cysteine) peptidase inhibitor, clade E, member 1	mouse	SERPINE1	TIS up	1.603646	0.001439371	
Ifi204	15951	interferon activated gene 204	mouse	IFI16	TIS up	1.60097	0.002437661	
Sapcd2	72080	suppressor APC domain containing 2	mouse	SAPCD2	TIS down	-1.599926	0.000000002099708	
Gbp2	14469	guanylate binding protein 2	mouse	GBP2	TIS up	1.597295	0.0005517136	
Ctsc	13032	cathepsin C	mouse	CTSC	TIS up	1.594978	0.0002540621	yes
Stil	20460	Scl/Tal1 interrupting locus	mouse	STIL	TIS down	-1.592995	0.00000001776134	
Angptl2	26360	angiopoietin-like 2	mouse	ANGPTL2	TIS up	1.59282	0.00004515191	
C330027C09Rik	224171	RIKEN cDNA C330027C09 gene	mouse	CIP2A	TIS down	-1.592091	0.00000002209741	
Knl1	76464	kinetochore scaffold 1	mouse	KNL1	TIS down	-1.592055	0.00000000007299902	
Tk1	21877	thymidine kinase 1	mouse	TK1	TIS down	-1.590704	0.0000000007402504	
Rasgrp2	19395	RAS, guanyl releasing protein 2	mouse	RASGRP2	TIS down	-1.590026	0.0000001120628	
Slfn2	20556	schlafen 2	mouse		TIS up	1.58724	0.00001490328	
Col6a1	12833	collagen, type VI, alpha 1	mouse	COL6A1	TIS up	1.583221	0.00001401066	
Vcan	13003	versican	mouse	VCAN	TIS up	1.578265	0.0003037476	
Igfbp6	16012	insulin-like growth factor binding protein 6	mouse	IGFBP6	TIS up	1.575706	0.0004551878	
Il10	16153	interleukin 10	mouse	IL10	TIS up	1.574186	0.0004901297	
Fosl2	14284	fos-like antigen 2	mouse	FOSL2	TIS up	1.572426	0.00004401507	
Hmgb2	97165	high mobility group box 2	mouse	HMGB2	TIS down	-1.567338	0.00000000006330761	
Tpx2	72119	TPX2, microtubule-associated	mouse	TPX2	TIS down	-1.565757	0.000000004247601	
Wls	68151	wntless WNT ligand secretion mediator	mouse	WLS	TIS up	1.560907	0.0004749142	yes
Hmgn5	50887	high-mobility group nucleosome binding domain 5	mouse	HMGN5	TIS down	-1.560466	0.00000000008682077	
Polh	80905	polymerase (DNA directed), eta (RAD 30 related)	mouse	POLH	TIS down	-1.55996	0.000000201186	
Xdh	22436	xanthine dehydrogenase	mouse	XDH	TIS up	1.558721	0.001268495	
Pira1	18722	paired-Ig-like receptor A1	mouse	LILRB3	TIS up	1.557739	0.0001075953	
Prrx1	18933	paired related homeobox 1	mouse	PRRX1	TIS up	1.556598	0.00006331547	yes
Fancd2	211651	Fanconi anemia, complementation group D2	mouse	FANCD2	TIS down	-1.556108	0.0000000002734776	
Sgo1	72415	shugoshin 1	mouse	SGO1	TIS down	-1.553545	0.00000000005302945	
Mnd1	76915	meiotic nuclear divisions 1	mouse	MND1	TIS down	-1.548045	0.00000002178801	
Nrm	106582	nurim (nuclear envelope membrane protein)	mouse	NRM	TIS down	-1.538679	0.0000001856519	
Speg	11790	SPEG complex locus	mouse	SPEG	TIS up	1.536707	0.001919942	
Espl1	105988	extra spindle pole bodies 1, separase	mouse	ESPL1	TIS down	-1.535721	0.00000001283628	
Vpreb3	22364	pre-B lymphocyte gene 3	mouse	VPREB3	TIS down	-1.534096	0.000267099	
Epb41l3	13823	erythrocyte membrane protein band 4.1 like 3	mouse	EPB41L3	TIS up	1.53375	0.00009784121	
Serpinb1a	66222	serine (or cysteine) peptidase inhibitor, clade B, member 1a	mouse	SERPINB1	TIS down	-1.531934	0.000002234066	
Procr	19124	protein C receptor, endothelial	mouse	PROCR	TIS up	1.531039	0.0008808198	
March1	72925	membrane-associated ring finger (C3HC4) 1	mouse	MARCH1	TIS up	1.530951	0.0003527052	
Klf6	23849	Kruppel-like factor 6	mouse	KLF6	TIS up	1.527175	0.00000003336968	
Brca1	12189	breast cancer 1, early onset	mouse	BRCA1	TIS down	-1.52713	0.000001352327	
Zfp365	216049	zinc finger protein 365	mouse	ZNF365	TIS up	1.526715	0.0008027942	
Cd300lf	246746	CD300 molecule like family member F	mouse	CD300LF	TIS up	1.526342	0.00002188201	
Efemp2	58859	epidermal growth factor-containing fibulin-like extracellular matrix protein 2	mouse	EFEMP2	TIS up	1.523869	0.0005359311	
Cenpa	12615	centromere protein A	mouse	CENPA	TIS down	-1.515602	0.00000002948166	
S100a6	20200	S100 calcium binding protein A6 (calcyclin)	mouse	S100A6	TIS up	1.51417	0.001146274	
H60a	15101	histocompatibility 60a	mouse		TIS up	1.509559	0.001089812	
Aif1	11629	allograft inflammatory factor 1	mouse	AIF1	TIS up	1.508252	0.003525982	
Sema3c	20348	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	mouse	SEMA3C	TIS up	1.507684	0.001186229	
Tceal8	66684	transcription elongation factor A (SII)-like 8	mouse	TCEAL8	TIS up	1.503966	0.0002295051	
Fat1	14107	FAT atypical cadherin 1	mouse	FAT1	TIS up	1.502547	0.0003246114	
Cd300ld	217305	CD300 molecule like family member d	mouse	CD300LD	TIS up	1.502164	0.0006947727	
Col5a1	12831	collagen, type V, alpha 1	mouse	COL5A1	TIS up	1.498927	0.0005002809	
Csf2rb2	12984	colony stimulating factor 2 receptor, beta 2, low-affinity (granulocyte-macrophage)	mouse	CSF2RB	TIS up	1.497762	0.0002965191	
Cd68	12514	CD68 antigen	mouse	CD68	TIS up	1.4948	0.0009383078	
Trip13	69716	thyroid hormone receptor interactor 13	mouse	TRIP13	TIS down	-1.493377	0.0000000008653529	
Cdca5	67849	cell division cycle associated 5	mouse	CDCA5	TIS down	-1.492315	0.000000007963893	
Cdc6	23834	cell division cycle 6	mouse	CDC6	TIS down	-1.492032	0.00000001197977	
Pdgfra	18595	platelet derived growth factor receptor, alpha polypeptide	mouse	PDGFRA	TIS up	1.491938	0.0001041314	
Sirpa	19261	signal-regulatory protein alpha	mouse	SIRPA	TIS up	1.4895	0.0003692604	
Sgo2a	68549	shugoshin 2A	mouse		TIS down	-1.488243	0.00000006202377	
Mybl2	17865	myeloblastosis oncogene-like 2	mouse	MYBL2	TIS down	-1.486573	0.000000003253217	
Tmpo	21917	thymopoietin	mouse	TMPO	TIS down	-1.485792	0.000000000005566463	
Spc24	67629	SPC24, NDC80 kinetochore complex component, homolog (S. cerevisiae)	mouse	SPC24	TIS down	-1.485503	0.00000000009471732	
Neat1	66961	nuclear paraspeckle assembly transcript 1 (non-protein coding)	mouse	NEAT1	TIS up	1.481905	0.0000004046329	
Cenpi	102920	centromere protein I	mouse	CENPI	TIS down	-1.48173	0.00000001100455	
Dusp4	319520	dual specificity phosphatase 4	mouse	DUSP4	TIS up	1.480226	0.0006346569	
Phlda3	27280	pleckstrin homology like domain, family A, member 3	mouse	PHLDA3	TIS up	1.479134	0.0000009235718	
Kif20b	240641	kinesin family member 20B	mouse	KIF20B	TIS down	-1.475882	0.000000005452377	
Dscc1	72107	DNA replication and sister chromatid cohesion 1	mouse	DSCC1	TIS down	-1.475154	0.000007114475	
Hist1h2ae	319166	histone cluster 1, H2ae	mouse	HIST1H2AL	TIS down	-1.474267	0.0000001440062	
Rad54b	623474	RAD54 homolog B (S. cerevisiae)	mouse	RAD54B	TIS down	-1.47365	0.000001473365	
Ackr3	12778	atypical chemokine receptor 3	mouse	ACKR3	TIS up	1.465729	0.001074861	
Haspin	14841	histone H3 associated protein kinase	mouse	HASPIN	TIS down	-1.463563	0.0000001097012	
Dtl	76843	denticleless E3 ubiquitin protein ligase	mouse	DTL	TIS down	-1.463521	0.000000002050739	
Pea15a	18611	phosphoprotein enriched in astrocytes 15A	mouse	PEA15	TIS up	1.461851	0.0008124968	
Sqstm1	18412	sequestosome 1	mouse	SQSTM1	TIS up	1.461698	0.0000000008967525	
Mmp9	17395	matrix metallopeptidase 9	mouse	MMP9	TIS up	1.460678	0.001419938	yes
Rfc4	106344	replication factor C (activator 1) 4	mouse	RFC4	TIS down	-1.460248	0.000000000008330796	
Tnfrsf1b	21938	tumor necrosis factor receptor superfamily, member 1b	mouse	TNFRSF1B	TIS up	1.459796	0.0000226147	
Dnase1l1	69537	deoxyribonuclease 1-like 1	mouse	DNASE1L1	TIS up	1.458667	0.000001795409	
Itgam	16409	integrin alpha M	mouse	ITGAM	TIS up	1.456924	0.003758345	yes
Ncapd3	78658	non-SMC condensin II complex, subunit D3	mouse	NCAPD3	TIS down	-1.454699	0.000000000488942	
Ncaph	215387	non-SMC condensin I complex, subunit H	mouse	NCAPH	TIS down	-1.453345	0.000000000232547	
Ext1	14042	exostoses (multiple) 1	mouse	EXT1	TIS up	1.452489	0.00006564538	
Cyr61	16007	cysteine rich protein 61	mouse	CYR61	TIS up	1.450108	0.00004910951	
Fam72a	108900	family with sequence similarity 72, member A	mouse	FAM72A	TIS down	-1.449092	0.0000000002299477	
Lig1	16881	ligase I, DNA, ATP-dependent	mouse	LIG1	TIS down	-1.44884	0.0000000004366073	
Chek1	12649	checkpoint kinase 1	mouse	CHEK1	TIS down	-1.448728	0.000000001065222	
Actn1	109711	actinin, alpha 1	mouse	ACTN1	TIS up	1.448343	0.0001663898	
Kif2c	73804	kinesin family member 2C	mouse	KIF2C	TIS down	-1.446717	0.0000000199949	
Plk4	20873	polo like kinase 4	mouse	PLK4	TIS down	-1.444532	0.0000000001336473	
Malat1	72289	metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA)	mouse	MALAT1	TIS up	1.444418	0.000004910171	
Cdkn3	72391	cyclin-dependent kinase inhibitor 3	mouse	CDKN3	TIS down	-1.443363	0.0000006419356	
Pilra	231805	paired immunoglobin-like type 2 receptor alpha	mouse	PILRA	TIS up	1.440045	0.005059172	
Mmp2	17390	matrix metallopeptidase 2	mouse	MMP2	TIS up	1.438724	0.0004709853	
Aurka	20878	aurora kinase A	mouse	AURKA	TIS down	-1.438188	0.000000007918827	
Tmem140	68487	transmembrane protein 140	mouse	TMEM140	TIS up	1.437057	0.000000002987274	
