	Symbol	Entrez	Description	Signature	SignatureID	Name	Ensembl	Genbank	Unigene	MetaSignature	Key	References	PubmedID	SelectionCriteria	Organism	HugoSymbol	Source	Database	taxid	ProbeID	logFC	P.Value	adj.P.Val	AveExpr	t	HomoloGeneRelease	ID	Function	EnsemblID	UnigeneID	GenbankID	Notes	NamePaper	FoldChange
74509	NEK2	4751	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	NIMA related kinase 2	ENSG00000117650	AAA19558	Hs.153704	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	NEK2	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74510	CCNB2	9133	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	cyclin B2	ENSG00000157456	AAD09309	Hs.194698	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	CCNB2	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74511	MAF	4094	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	MAF bZIP transcription factor	ENSG00000178573	AAC27037	Hs.134859	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	MAF	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74512	ADH1B	125	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	alcohol dehydrogenase 1B (class I), beta polypeptide	ENSG00000196616	AAA51592	Hs.4	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	ADH1B	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74513	IGFBP5	3488	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	insulin like growth factor binding protein 5	ENSG00000115461	AAA53505	Hs.607212	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	IGFBP5	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74514	RACGAP1	29127	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	Rac GTPase activating protein 1	ENSG00000161800	AAH24144	Hs.505469	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	RACGAP1	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74515	TOP2A	7153	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	DNA topoisomerase II alpha	ENSG00000131747	AAA61209	Hs.156346	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	TOP2A	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74516	DBF4	10926	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	DBF4 zinc finger	ENSG00000006634	AAD41911	Hs.485380	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	DBF4	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74517	PDP1	54704	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	pyruvate dehyrogenase phosphatase catalytic subunit 1	ENSG00000164951	AAF67480	Hs.22265	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	PDP1	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74518	AURKB	9212	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	aurora kinase B	ENSG00000178999	AAB65786	Hs.442658	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	AURKB	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74519	TREM1	54210	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	triggering receptor expressed on myeloid cells 1	ENSG00000124731	AAF71694	Hs.283022	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	TREM1	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74520	KIF11	3832	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	kinesin family member 11	ENSG00000138160	AA504625	Hs.8878	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	KIF11	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74521	IL12RB2	3595	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	interleukin 12 receptor subunit beta 2	ENSG00000081985	AAB36675	Hs.479347	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	IL12RB2	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74522	BARD1	580	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	BRCA1 associated RING domain 1	ENSG00000138376	AAB38316	Hs.591642	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	BARD1	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
74523	PLK4	10733	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	TANG_SENESCENCE_TP53_TARGETS_DN	polo like kinase 4	ENSG00000142731	AAH36023	Hs.172052	TANG_SENESCENCE_TP53_TARGETS_DN	MSigDB_CGP				human	PLK4	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
120767	HSPA2	3306	FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	heat shock protein family A (Hsp70) member 2	ENSG00000126803	AAA52698	Hs.432648	FRIDMAN_SENESCENCE_UP	MSigDB_CGP				human	HSPA2	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
120768	CDKN2A	1029	FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	cyclin dependent kinase inhibitor 2A	ENSG00000147889	AAA82236	Hs.512599	FRIDMAN_SENESCENCE_UP	MSigDB_CGP				human	CDKN2A	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
120769	SERPINE1	5054	FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	serpin family E member 1	ENSG00000106366	AAA60003	Hs.414795	FRIDMAN_SENESCENCE_UP	MSigDB_CGP				human	SERPINE1	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
120770	CDKN2B	1030	FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	cyclin dependent kinase inhibitor 2B	ENSG00000147883	AAA50282	Hs.72901	FRIDMAN_SENESCENCE_UP	MSigDB_CGP				human	CDKN2B	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
120771	CYP1B1	1545	FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	cytochrome P450 family 1 subfamily B member 1	ENSG00000138061	AAA19567	Hs.154654	FRIDMAN_SENESCENCE_UP	MSigDB_CGP				human	CYP1B1	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
120772	CCND1	595	FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	cyclin D1	ENSG00000110092	AAA36481	Hs.523852	FRIDMAN_SENESCENCE_UP	MSigDB_CGP				human	CCND1	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
120773	RRAS	6237	FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	RAS related	ENSG00000126458	AAA60256	Hs.515536	FRIDMAN_SENESCENCE_UP	MSigDB_CGP				human	RRAS	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
120774	RHOB	388	FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	ras homolog family member B	ENSG00000143878	AAA36565	Hs.502876	FRIDMAN_SENESCENCE_UP	MSigDB_CGP				human	RHOB	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
120775	FILIP1L	11259	FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	filamin A interacting protein 1 like	ENSG00000168386	AAA98972	Hs.104672	FRIDMAN_SENESCENCE_UP	MSigDB_CGP				human	FILIP1L	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
120776	NRG1	3084	FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	neuregulin 1	ENSG00000157168	AAA19950	Hs.453951	FRIDMAN_SENESCENCE_UP	MSigDB_CGP				human	NRG1	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
120777	RAB31	11031	FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	RAB31, member RAS oncogene family	ENSG00000168461	AAB02832	Hs.99528	FRIDMAN_SENESCENCE_UP	MSigDB_CGP				human	RAB31	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
120778	CTGF	1490	FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	connective tissue growth factor	ENSG00000118523	AAA75378	Hs.410037	FRIDMAN_SENESCENCE_UP	MSigDB_CGP				human	CTGF	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
120779	VIM	7431	FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	vimentin	ENSG00000026025	AAA61279	Hs.455493	FRIDMAN_SENESCENCE_UP	MSigDB_CGP				human	VIM	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
120780	IGFBP4	3487	FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	insulin like growth factor binding protein 4	ENSG00000141753	AAA62670	Hs.462998	FRIDMAN_SENESCENCE_UP	MSigDB_CGP				human	IGFBP4	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
120781	MMP1	4312	FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	FRIDMAN_SENESCENCE_UP	matrix metallopeptidase 1	ENSG00000196611	AAA35699	Hs.83169	FRIDMAN_SENESCENCE_UP	MSigDB_CGP				human	MMP1	c2.cgp.v6.1.symbols.gmt	MSigDB CGP																
